City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alto longa,-5.2511,-42.2103,80.8,68,73,5.17,BR,1674768043
84,bonfim,3.0833,-59.95,90.55,33,57,10.02,BR,1674768044
85,birjand,32.8663,59.2211,30.67,55,0,11.5,IR,1674768044
86,jaffna,9.6685,80.0074,76.68,74,100,9.4,LK,1674768045
87,korla,41.7597,86.1469,14.07,60,48,1.32,CN,1674768045
88,hami,42.8,93.45,12.87,47,0,5.48,CN,1674768045
89,kruisfontein,-34.0033,24.7314,63.88,71,0,5.41,ZA,1674768046
90,port macquarie,-31.4333,152.9167,69.89,93,100,2.84,AU,1674767833
91,yellowknife,62.456,-114.3525,-4.45,77,20,15.01,CA,1674768046
92,saint-philippe,-21.3585,55.7679,78.39,85,100,1.57,RE,1674768046
93,upernavik,72.7868,-56.1549,5.25,94,100,9.91,GL,1674768047
94,boa vista,2.8197,-60.6733,87.78,42,40,9.22,BR,1674768047
95,bud,39.447,-86.1758,30.15,85,100,13.24,US,1674768047
96,mataura,-46.1927,168.8643,57.15,97,100,8.08,NZ,1674767821
97,margate,51.3813,1.3862,43.7,78,63,10.0,GB,1674768048
98,puerto escondido,15.85,-97.0667,85.03,65,0,6.91,MX,1674768048
99,codrington,-38.2667,141.9667,53.15,76,8,8.32,AU,1674768049
100,salinopolis,-0.6136,-47.3561,76.86,89,100,10.94,BR,1674768049
101,sekoma,-24.4,23.8833,77.81,37,22,8.3,BW,1674768049
102,ouegoa,-20.35,164.4333,82.58,76,4,5.44,NC,1674768050
103,zhigansk,66.7697,123.3711,-59.53,100,66,1.81,RU,1674768050
104,wilmington,34.2257,-77.9447,56.95,54,0,13.8,US,1674767803
105,hailar,49.2,119.7,-37.39,100,28,3.31,CN,1674768050
106,carnarvon,-24.8667,113.6333,75.65,74,0,18.86,AU,1674768051
107,faanui,-16.4833,-151.75,81.19,76,7,16.73,PF,1674768051
108,souillac,-20.5167,57.5167,75.58,100,75,3.44,MU,1674768051
109,bandarbeyla,9.4942,50.8122,75.45,67,57,15.79,SO,1674768052
110,nikolayevsk-na-amure,53.1406,140.73,-11.52,93,100,7.11,RU,1674768052
111,coquimbo,-29.9533,-71.3436,67.73,68,0,12.66,CL,1674768052
112,marshall,34.3834,-86.3333,47.46,49,75,12.66,US,1674767810
113,marzuq,14.4,46.4667,60.3,78,1,5.59,YE,1674768052
114,ostersund,63.1792,14.6357,28.85,93,75,10.36,SE,1674768053
115,zabol,32.25,67.25,21.63,52,0,6.96,AF,1674768053
116,ribas do rio pardo,-20.4431,-53.7592,89.31,48,37,4.59,BR,1674768053
117,mahebourg,-20.4081,57.7,78.26,100,75,3.44,MU,1674767992
118,funehiki,37.4333,140.5833,27.01,89,100,2.51,JP,1674768054
119,yaviza,8.1537,-77.6931,81.21,91,100,2.21,PA,1674768054
120,la asuncion,11.0333,-63.8628,77.27,75,8,15.19,VE,1674767787
121,saskylakh,71.9167,114.0833,-38.11,97,25,10.16,RU,1674768054
122,vila velha,-20.3297,-40.2925,76.95,87,75,2.3,BR,1674768055
123,port elizabeth,-33.918,25.5701,68.31,79,0,6.91,ZA,1674768055
124,ugoofaaru,5.6667,73.0,80.46,74,41,14.09,MV,1674768055
125,leningradskiy,69.3833,178.4167,-23.49,97,9,3.31,RU,1674768055
126,kalabo,-14.97,22.6814,65.21,93,96,3.94,ZM,1674768056
127,chivay,-15.6383,-71.6011,51.93,81,100,7.92,PE,1674768056
128,bluff,-46.6,168.3333,55.92,89,100,16.53,NZ,1674767985
129,makakilo city,21.3469,-158.0858,77.32,52,0,16.11,US,1674768056
130,isangel,-19.55,169.2667,83.48,74,7,4.97,VU,1674768057
131,luang prabang,19.8856,102.1347,59.76,85,4,0.87,LA,1674768057
132,emporia,38.4039,-96.1817,34.52,69,100,5.75,US,1674768057
133,sao filipe,14.8961,-24.4956,71.29,74,43,10.2,CV,1674768058
134,nagato,34.3833,131.2,40.33,92,100,14.2,JP,1674768058
135,luanda,-8.8368,13.2343,79.84,81,99,8.5,AO,1674768058
136,castro,-24.7911,-50.0119,74.26,60,7,5.01,BR,1674768059
137,provideniya,64.3833,-173.3,-2.09,78,75,4.47,RU,1674768059
138,namibe,-15.1961,12.1522,72.99,77,97,6.02,AO,1674768059
139,shakawe,-18.3667,21.85,66.78,81,86,4.34,BW,1674768059
140,komsomolskiy,40.4272,71.7189,18.32,79,4,2.3,UZ,1674768060
141,mezen,65.8522,44.24,18.82,92,63,9.42,RU,1674768060
142,kodinar,20.7903,70.7031,63.14,34,1,15.32,IN,1674768060
143,brainerd,46.358,-94.2008,17.89,62,75,6.91,US,1674767890
144,sao joao da barra,-21.6403,-41.0511,80.69,84,1,10.11,BR,1674768061
145,san francisco,37.7749,-122.4194,67.95,38,0,13.8,US,1674767889
146,la macarena,2.1837,-73.7849,92.41,28,12,7.85,CO,1674768061
147,sao jose da coroa grande,-8.8978,-35.1478,80.29,74,1,12.37,BR,1674768062
148,garissa,-0.4536,39.6401,78.46,69,29,13.22,KE,1674768062
149,saldanha,-33.0117,17.9442,62.65,85,36,16.28,ZA,1674768062
150,thanh hoa,19.8,105.7667,63.64,90,100,9.04,VN,1674767882
151,puerto ayora,-0.7393,-90.3518,85.96,89,43,7.0,EC,1674768063
152,ponta do sol,32.6667,-17.1,59.63,48,2,8.03,PT,1674768064
153,palauig,15.435,119.9045,75.4,71,100,3.27,PH,1674768064
154,khatanga,71.9667,102.5,-11.76,82,100,13.91,RU,1674768065
155,kuching,1.55,110.3333,80.02,98,40,3.44,MY,1674768065
156,tiksi,71.6872,128.8694,-38.13,98,49,5.14,RU,1674768065
157,lebu,-37.6167,-73.65,63.59,72,0,13.69,CL,1674768066
158,byron bay,-28.65,153.6167,75.94,75,98,1.32,AU,1674768066
159,betanzos,43.2804,-8.2147,50.09,83,40,6.91,ES,1674768067
160,kavieng,-2.5744,150.7967,81.73,73,100,9.04,PG,1674768067
161,phra phutthabat,14.7253,100.7954,72.77,56,6,3.49,TH,1674768067
162,padang,-0.9492,100.3543,75.25,87,100,1.57,ID,1674768068
163,saint anthony,45.0205,-93.218,18.28,61,100,9.22,US,1674768068
164,kangaatsiaq,68.3065,-53.4641,5.9,92,100,8.1,GL,1674768069
165,bull savanna,17.8868,-77.5902,80.02,63,54,16.73,JM,1674768069
166,cayenne,4.9333,-52.3333,80.64,65,20,6.91,GF,1674768069
167,te karaka,-38.4654,177.8679,67.82,67,100,3.36,NZ,1674768070
168,ancud,-41.8697,-73.8203,59.7,58,6,10.22,CL,1674768070
169,lavrentiya,65.5833,-171.0,-13.54,99,90,4.43,RU,1674768071
170,virginia beach,36.8529,-75.978,53.06,50,75,19.57,US,1674767774
171,qaanaaq,77.484,-69.3632,-5.19,65,25,6.73,GL,1674768071
172,chokurdakh,70.6333,147.9167,-42.84,100,85,2.64,RU,1674767987
173,mount gambier,-37.8333,140.7667,51.4,77,4,4.85,AU,1674768071
